# GENERATED by e2e/scripts/check-coverage.mjs — do not edit; edit scenarios.md and the specs instead.
id	tier	layer_required	status	specs	section
BOOK-01	1	wire-or-unit	none		2a — The patient half
BOOK-02	1	wire-or-unit	none		2a — The patient half
BOOK-03	1	wire-or-unit	none		2a — The patient half
BOOK-04	1	wire-or-unit	none		2a — The patient half
BOOK-05	0	browser	browser	booking-browser.spec.ts	2a — The patient half
BOOK-06	0	browser	browser	booking-browser.spec.ts	2a — The patient half
BOOK-07	1	browser	none		2a — The patient half
BOOK-08	1	wire-or-unit	none		2a — The patient half
BOOK-09	2	wire-or-unit	none		2a — The patient half
BOOK-10	0	browser	none		2a — The patient half
BOOK-11	1	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-12	1	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-13	2	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-14	1	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-15	1	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-16	1	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-17	0	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-18	1	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-19	1	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-20	1	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-21	2	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-22	1	browser	none		2b — The slot half (three advisory refusals, each re-entering the save)
BOOK-23	1	browser	none		2c — The acts half
BOOK-24	1	browser	none		2c — The acts half
BOOK-25	0	browser	browser	appointment.spec.ts,browser-hot-paths.spec.ts	2c — The acts half
BOOK-26	0	browser	none		2c — The acts half
BOOK-27	1	browser	none		2c — The acts half
BOOK-28	1	browser	none		2c — The acts half
BOOK-29	1	browser	none		2c — The acts half
BOOK-30	2	browser	none		2c — The acts half
BOOK-31	0	browser	browser	booking-browser.spec.ts	2d — Multi-séance acts: the split-by-default path
BOOK-32	0	browser	browser	booking-browser.spec.ts	2d — Multi-séance acts: the split-by-default path
BOOK-33	0	browser	browser	browser-hot-paths.spec.ts	2d — Multi-séance acts: the split-by-default path
BOOK-34	1	wire-or-unit	wire	appointment.spec.ts	2d — Multi-séance acts: the split-by-default path
BOOK-35	0	browser	browser	booking-browser.spec.ts	2d — Multi-séance acts: the split-by-default path
BOOK-36	0	browser	none		2d — Multi-séance acts: the split-by-default path
BOOK-37	1	browser	browser	booking-browser.spec.ts	2d — Multi-séance acts: the split-by-default path
BOOK-38	1	browser	none		2d — Multi-séance acts: the split-by-default path
BOOK-39	0	browser	wire	appointment.spec.ts	2d — Multi-séance acts: the split-by-default path
BOOK-40	0	browser	none		2d — Multi-séance acts: the split-by-default path
BOOK-41	1	browser	none		2d — Multi-séance acts: the split-by-default path
BOOK-42	1	wire-or-unit	none		2d — Multi-séance acts: the split-by-default path
BOOK-43	1	browser	none		2d — Multi-séance acts: the split-by-default path
BOOK-44	0	wire-or-unit	browser	browser-hot-paths.spec.ts	2d — Multi-séance acts: the split-by-default path
BOOK-45	1	browser	none		2d — Multi-séance acts: the split-by-default path
BOOK-46	0	browser	none		2d — Multi-séance acts: the split-by-default path
BOOK-47	1	browser	none		2d — Multi-séance acts: the split-by-default path
BOOK-48	1	browser	none		2d — Multi-séance acts: the split-by-default path
BOOK-49	0	browser	browser	booking-browser.spec.ts	2d — Multi-séance acts: the split-by-default path
BOOK-50	0	browser	browser	booking-browser.spec.ts	2d — Multi-séance acts: the split-by-default path
CAT-01	1	wire-or-unit	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-02	1	browser	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-03	0	browser	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-04	0	browser	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-05	1	wire-or-unit	wire	steps.spec.ts	HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-06	1	wire-or-unit	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-07	1	wire-or-unit	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-08	1	browser	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-09	2	wire-or-unit	wire	steps.spec.ts	HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-10	2	wire-or-unit	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-11	1	wire-or-unit	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-12	1	wire-or-unit	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-13	2	browser	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CAT-14	2	browser	none		HP-1 · Types de procédure — the catalogue every protocol comes from
CONT-01	1	wire-or-unit	wire	continuation.spec.ts	HP-8 · La suite d'un acte non terminé
CONT-02	0	wire-or-unit	wire	continuation.spec.ts	HP-8 · La suite d'un acte non terminé
CONT-03	0	wire-or-unit	wire	continuation.spec.ts,money-reads.spec.ts	HP-8 · La suite d'un acte non terminé
CONT-04	0	wire-or-unit	wire	continuation.spec.ts,money-reads.spec.ts	HP-8 · La suite d'un acte non terminé
CONT-05	0	wire-or-unit	wire	continuation.spec.ts	HP-8 · La suite d'un acte non terminé
CONT-05b	0	wire-or-unit	wire	continuation.spec.ts	HP-8 · La suite d'un acte non terminé
CONT-06	0	wire-or-unit	wire	continuation.spec.ts	HP-8 · La suite d'un acte non terminé
CONT-07	0	wire-or-unit	wire	continuation.spec.ts	HP-8 · La suite d'un acte non terminé
CONT-08	1	browser	none		HP-8 · La suite d'un acte non terminé
CONT-09	0	browser	none		HP-8 · La suite d'un acte non terminé
CONT-10	1	browser	none		HP-8 · La suite d'un acte non terminé
CONT-11	0	browser	none		HP-8 · La suite d'un acte non terminé
CONT-12	1	browser	wire	continuation.spec.ts	HP-8 · La suite d'un acte non terminé
CONT-13	1	wire-or-unit	none		HP-8 · La suite d'un acte non terminé
CONT-14	1	wire-or-unit	none		HP-8 · La suite d'un acte non terminé
CONT-15	2	wire-or-unit	none		HP-8 · La suite d'un acte non terminé
CONT-16	1	wire-or-unit	none		HP-8 · La suite d'un acte non terminé
CONT-17	0	wire-or-unit	none		HP-8 · La suite d'un acte non terminé
CONT-18	1	wire-or-unit	none		HP-8 · La suite d'un acte non terminé
CONT-19	1	wire-or-unit	none		HP-8 · La suite d'un acte non terminé
CONT-20	1	wire-or-unit	none		HP-8 · La suite d'un acte non terminé
CONT-21	0	wire-or-unit	none		HP-8 · La suite d'un acte non terminé
DEL-01	1	wire-or-unit	wire	delete-fiche.spec.ts	14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-02	0	wire-or-unit	wire	delete-fiche.spec.ts	14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-03	0	wire-or-unit	wire	delete-fiche.spec.ts	14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-04	0	wire-or-unit	wire	delete-fiche.spec.ts	14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-05	0	wire-or-unit	wire	delete-fiche.spec.ts	14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-06	0	wire-or-unit	none		14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-07	0	wire-or-unit	none		14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-08	0	wire-or-unit	wire	delete-fiche.spec.ts	14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-09	0	wire-or-unit	wire	delete-fiche.spec.ts	14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-10	0	wire-or-unit	none		14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-11	0	wire-or-unit	none		14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
DEL-12	1	wire-or-unit	wire	delete-fiche.spec.ts	14a — Supprimer une fiche de soins (`DeleteDentalRecordCommand`)
